year,comuna,total_houses,houses_1p,ratio
1991,1,67265,22957,0.3412919051512674
2001,1,73493,25980,0.3535030547126937
2010,1,84468,32028,0.3791731780082398
2022,1,106509,47384,0.44488259208142034
1991,2,75249,24315,0.3231272176374437
2001,2,71142,25616,0.3600685952039583
2010,2,73156,29816,0.40756739023456723
2022,2,83818,40719,0.485802572239853
1991,3,69992,21960,0.31375014287347125
2001,3,77175,24686,0.3198704243602203
2010,3,80489,28972,0.35994980680589894
2022,3,92555,40018,0.4323699421965318
1991,4,58110,13022,0.22409223885733953
2001,4,66979,13666,0.20403410024037386
2010,4,76455,17977,0.23513177686220652
2022,4,91186,29037,0.31843704077380297
1991,5,66957,17836,0.2663799154681363
2001,5,70260,20103,0.2861229718189582
2010,5,76846,25806,0.3358144861150873
2022,5,93208,39538,0.4241910565616685
1991,6,66482,15562,0.23407839716013357
2001,6,68464,18313,0.2674836410376256
2010,6,75189,23644,0.3144608918857812
2022,6,95464,38334,0.4015545126958854
1991,7,67190,13284,0.19770799226075308
2001,7,73942,14907,0.20160395986043114
2010,7,81483,20311,0.24926671821116062
2022,7,90970,31469,0.345927228756733
1991,8,43890,5774,0.1315561631351105
2001,8,48307,6428,0.13306560125861677
2010,8,58204,9776,0.16796096488213869
2022,8,70622,16574,0.2346860751607148
1991,9,51279,8458,0.16494081397843172
2001,9,51835,9250,0.1784508536703
2010,9,56495,11829,0.20938136118240552
2022,9,66753,20242,0.30323730768654594
1991,10,56971,9702,0.17029716873497042
2001,10,58784,11330,0.19273952095808383
2010,10,61453,14056,0.2287276455177127
2022,10,73964,24933,0.33709642528797795
1991,11,67302,11915,0.17703782948500787
2001,11,68173,13509,0.19815762838660467
2010,11,71460,16954,0.23725160929191155
2022,11,87910,30050,0.3418268683881242
1991,12,67141,12108,0.1803369029356131
2001,12,70179,14321,0.2040638937573918
2010,12,78547,20261,0.25794747094096526
2022,12,108085,41518,0.38412360642087245
1991,13,88310,20967,0.23742498018344468
2001,13,92639,25881,0.2793747773615864
2010,13,100506,33088,0.3292141762680835
2022,13,127241,53752,0.42244245172546585
1991,14,92065,24310,0.26405257155270734
2001,14,94062,29997,0.3189066785737067
2010,14,102918,38853,0.37751413746866436
2022,14,127733,60401,0.4728691880719939
1991,15,64893,12553,0.19344151141109212
2001,15,66470,15692,0.23607642545509253
2010,15,72465,20596,0.2842199682605396
2022,15,90717,36168,0.39869043288468536