age_group,year,rate
15-19,1982,22.95
15-19,1983,22.93
15-19,1984,22.98
15-19,1985,27.5
15-19,1986,30.06
15-19,1987,29.17
15-19,1988,27.53
15-19,1989,26.91
15-19,1990,22.5
15-19,1991,23.1
15-19,1992,23.3
15-19,1993,23
15-19,1994,24.5
15-19,1995,25.5
15-19,1996,23.1
15-19,1997,22.6
15-19,1998,22.3
15-19,1999,22.8
15-19,2000,26.5
15-19,2001,25.4
15-19,2002,25.4
15-19,2003,23.9
15-19,2004,28.6
15-19,2005,30.8
15-19,2006,33.4
15-19,2007,33.7
15-19,2008,35.409711747528704
15-19,2009,33.7897051552203
15-19,2010,33.8263808099274
15-19,2011,34.3711193897463
15-19,2012,32.9703267059646
15-19,2013,29.9298679867987
15-19,2014,29.40590425253
15-19,2015,26.1479727856335
15-19,2016,22.6568321472154
15-19,2017,20.1297711585777
15-19,2018,16.1640504570225
15-19,2019,12.428626626025
15-19,2020,8.74005016887555
15-19,2021,6.663468758
15-19,2022,6.5
15-19,2023,6.33867206361273
15-19,2024,5.21548741570017
20-24,1982,79
20-24,1983,79.43
20-24,1984,76.87
20-24,1985,84.9
20-24,1986,87.07
20-24,1987,84.77
20-24,1988,82.07
20-24,1989,79.61
20-24,1990,81.5
20-24,1991,70.9
20-24,1992,64.3
20-24,1993,63.4
20-24,1994,66.7
20-24,1995,68.4
20-24,1996,65.4
20-24,1997,64.2
20-24,1998,62.5
20-24,1999,64.9
20-24,2000,65.5
20-24,2001,64
20-24,2002,60.2
20-24,2003,59.6
20-24,2004,64.8
20-24,2005,63.7
20-24,2006,65.3
20-24,2007,66.7
20-24,2008,70.9413907777405
20-24,2009,71.680450182169
20-24,2010,71.8244915788963
20-24,2011,71.6897955956193
20-24,2012,69.9985986266541
20-24,2013,63.7140421115065
20-24,2014,62.2904869225962
20-24,2015,58.6029784507083
20-24,2016,52.4265824379184
20-24,2017,46.8776110013467
20-24,2018,46.2944466640032
20-24,2019,42.0948937725962
20-24,2020,27.3736403252925
20-24,2021,27.21102664
20-24,2022,25.5
20-24,2023,25.6094609808192
20-24,2024,23.3313552175407
25-29,1982,123.43
25-29,1983,127.64
25-29,1984,125.23
25-29,1985,136.6
25-29,1986,138.24
25-29,1987,135.46
25-29,1988,132.26
25-29,1989,130.08
25-29,1990,131
25-29,1991,118.1
25-29,1992,108.1
25-29,1993,103.7
25-29,1994,103.7
25-29,1995,104.2
25-29,1996,104.5
25-29,1997,103.9
25-29,1998,101.4
25-29,1999,105.6
25-29,2000,105.4
25-29,2001,97.8
25-29,2002,92.5
25-29,2003,93.2
25-29,2004,93.5
25-29,2005,87.1
25-29,2006,85.1
25-29,2007,79.5
25-29,2008,84.9512300011454
25-29,2009,80.7504112660882
25-29,2010,80.4142552543405
25-29,2011,78.5380507343124
25-29,2012,74.418880455408
25-29,2013,73.1926904640241
25-29,2014,73.673894401568
25-29,2015,70.1735403054642
25-29,2016,68.1423463306658
25-29,2017,61.6097582302278
25-29,2018,61.2424547283702
25-29,2019,57.4157849821522
25-29,2020,39.766749582025
25-29,2021,41.40761472
25-29,2022,38.2
25-29,2023,41.8288502875733
25-29,2024,37.8655114699222
30-34,1982,94.83
30-34,1983,95.83
30-34,1984,93
30-34,1985,103.31
30-34,1986,104.4
30-34,1987,103.46
30-34,1988,107.08
30-34,1989,108.46
30-34,1990,111.4
30-34,1991,99.4
30-34,1992,93.1
30-34,1993,95.3
30-34,1994,97.5
30-34,1995,100.5
30-34,1996,97.2
30-34,1997,97.3
30-34,1998,98
30-34,1999,100.5
30-34,2000,104.6
30-34,2001,102.5
30-34,2002,100.9
30-34,2003,108.6
30-34,2004,112.1
30-34,2005,107.3
30-34,2006,106
30-34,2007,99.1
30-34,2008,104.662232253004
30-34,2009,98.2040321955552
30-34,2010,101.233233503719
30-34,2011,99.2342175487402
30-34,2012,97.6981077080026
30-34,2013,101.079257183474
30-34,2014,102.280183727034
30-34,2015,97.9544183905022
30-34,2016,94.3962011485282
30-34,2017,83.0630364982635
30-34,2018,83.6538618917459
30-34,2019,80.9008400036271
30-34,2020,67.6584272582584
30-34,2021,67.15583388
30-34,2022,64.2
30-34,2023,63.2149964108202
30-34,2024,55.0885633876076
35-39,1982,45.67
35-39,1983,45.18
35-39,1984,44.6
35-39,1985,50.21
35-39,1986,51.19
35-39,1987,50.49
35-39,1988,52.26
35-39,1989,51.17
35-39,1990,51.7
35-39,1991,48.7
35-39,1992,46.7
35-39,1993,48
35-39,1994,48.5
35-39,1995,50.4
35-39,1996,51.3
35-39,1997,50.8
35-39,1998,50.7
35-39,1999,52.6
35-39,2000,57.1
35-39,2001,54.6
35-39,2002,53.7
35-39,2003,57.3
35-39,2004,66.1
35-39,2005,65.6
35-39,2006,67.8
35-39,2007,66.3
35-39,2008,71.3591632283228
35-39,2009,70.221591113577
35-39,2010,72.2302648386273
35-39,2011,74.8171109733416
35-39,2012,71.2376916965597
35-39,2013,76.3957819008594
35-39,2014,78.2937637959796
35-39,2015,77.3317442865656
35-39,2016,77.350291112267
35-39,2017,71.2663211737784
35-39,2018,72.5428885320713
35-39,2019,72.9531779103616
35-39,2020,65.7569666433486
35-39,2021,62.40804212
35-39,2022,59.3
35-39,2023,57.635593220339
35-39,2024,54.1036809291998
40-44,1982,11.27
40-44,1983,10.24
40-44,1984,10.38
40-44,1985,12.14
40-44,1986,12.59
40-44,1987,11.95
40-44,1988,12.17
40-44,1989,11.7
40-44,1990,11.8
40-44,1991,11.4
40-44,1992,11.9
40-44,1993,11.8
40-44,1994,11.3
40-44,1995,12.4
40-44,1996,12.1
40-44,1997,12.4
40-44,1998,12.5
40-44,1999,12.9
40-44,2000,13.9
40-44,2001,14
40-44,2002,13.2
40-44,2003,14.4
40-44,2004,15.7
40-44,2005,17.2
40-44,2006,17.7
40-44,2007,17.4
40-44,2008,18.9420556575825
40-44,2009,18.6399930483975
40-44,2010,19.9769804333684
40-44,2011,21.0018698946954
40-44,2012,20.8395499042247
40-44,2013,22.1171785130837
40-44,2014,21.9272720446055
40-44,2015,23.3227334793486
40-44,2016,21.9833595682483
40-44,2017,21.8510934411262
40-44,2018,22.5524337505811
40-44,2019,26.1833005243628
40-44,2020,25.7994568535399
40-44,2021,21.51246509
40-44,2022,20.7
40-44,2023,19.7398328495996
40-44,2024,18.5993413830955
45-49,1982,1.18
45-49,1983,1.03
45-49,1984,2.11
45-49,1985,1.6
45-49,1986,3.78
45-49,1987,1.62
45-49,1988,1.09
45-49,1989,0.91
45-49,1990,1.1
45-49,1991,1.2
45-49,1992,0.7
45-49,1993,1.3
45-49,1994,0.9
45-49,1995,0.8
45-49,1996,0.8
45-49,1997,0.9
45-49,1998,0.9
45-49,1999,0.9
45-49,2000,1
45-49,2001,0.7
45-49,2002,1
45-49,2003,1
45-49,2004,1
45-49,2005,1.1
45-49,2006,1.2
45-49,2007,1.2
45-49,2008,1.68234058622392
45-49,2009,1.47760986543918
45-49,2010,1.71180405126959
45-49,2011,1.90478206118583
45-49,2012,1.895885187735
45-49,2013,1.90613398348756
45-49,2014,2.27525033249431
45-49,2015,2.48753528514725
45-49,2016,3.02975920276162
45-49,2017,2.86802966362109
45-49,2018,3.18332374700014
45-49,2019,4.05212905212905
45-49,2020,4.0504099939464
45-49,2021,2.626897588
45-49,2022,3.5
45-49,2023,3.35157380201454
45-49,2024,3.4795021635366
